px,pz,end_speed,pitch_type,b_score,ab_id,b_count,s_count,outs,pitch_num,on_1b,on_2b,on_3b,pitch_type_code,year,inning,p_score,type_B,type_S,type_X,stand_L,stand_R
1.251,2.373,79.8,2,0.0,2015000653,0.0,1.0,0.0,2.0,0.0,0.0,0.0,BR,2015,4,0,1,0,0,0,1
0.34600000000000003,1.8559999999999999,85.0,1,0.0,2015000653,1.0,1.0,0.0,3.0,0.0,0.0,0.0,FB,2015,4,0,0,1,0,0,1
-0.898,1.83,86.9,1,0.0,2015000653,1.0,2.0,0.0,4.0,0.0,0.0,0.0,FB,2015,4,0,0,0,1,0,1
0.48100000000000004,0.682,72.3,2,0.0,2015000654,0.0,0.0,1.0,1.0,0.0,0.0,0.0,BR,2015,4,0,1,0,0,1,0
-1.368,3.1460000000000004,84.6,1,0.0,2015000654,1.0,0.0,1.0,2.0,0.0,0.0,0.0,FB,2015,4,0,0,0,1,1,0
0.027999999999999997,2.434,76.3,2,0.0,2015000655,0.0,0.0,2.0,1.0,0.0,0.0,0.0,BR,2015,4,0,0,1,0,0,1
1.136,2.903,86.1,1,0.0,2015000655,0.0,1.0,2.0,2.0,0.0,0.0,0.0,FB,2015,4,0,1,0,0,0,1
-0.07400000000000001,1.472,85.7,1,0.0,2015000655,1.0,1.0,2.0,3.0,0.0,0.0,0.0,FB,2015,4,0,0,1,0,0,1
0.19899999999999998,3.127,86.8,1,0.0,2015000655,1.0,2.0,2.0,4.0,0.0,0.0,0.0,FB,2015,4,0,0,1,0,0,1
-0.48,2.044,87.2,1,0.0,2015000655,1.0,2.0,2.0,5.0,0.0,0.0,0.0,FB,2015,4,0,0,0,1,0,1
-1.266,2.218,81.2,1,0.0,2015000660,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,5,1,0,1,0,1,0
1.306,2.072,83.1,1,0.0,2015000660,0.0,1.0,0.0,2.0,0.0,0.0,0.0,FB,2015,5,1,1,0,0,1,0
-1.021,1.9,78.6,3,0.0,2015000660,1.0,1.0,0.0,3.0,0.0,0.0,0.0,OS,2015,5,1,0,0,1,1,0
-0.6659999999999999,2.968,77.5,2,0.0,2015000661,0.0,0.0,1.0,1.0,0.0,0.0,0.0,BR,2015,5,1,0,1,0,0,1
0.134,2.2,84.3,1,0.0,2015000661,0.0,1.0,1.0,2.0,0.0,0.0,0.0,FB,2015,5,1,0,1,0,0,1
-0.222,2.656,85.5,1,0.0,2015000661,0.0,2.0,1.0,3.0,0.0,0.0,0.0,FB,2015,5,1,0,1,0,0,1
1.176,2.022,83.3,1,0.0,2015000662,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,5,1,1,0,0,0,1
0.025,1.588,78.9,2,0.0,2015000662,1.0,0.0,2.0,2.0,0.0,0.0,0.0,BR,2015,5,1,0,1,0,0,1
-0.17300000000000001,2.161,84.5,1,0.0,2015000662,1.0,1.0,2.0,3.0,0.0,0.0,0.0,FB,2015,5,1,0,1,0,0,1
0.17800000000000002,0.816,79.6,2,0.0,2015000662,1.0,2.0,2.0,4.0,0.0,0.0,0.0,BR,2015,5,1,0,1,0,0,1
-0.08199999999999999,2.764,83.4,1,0.0,2015000666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,6,1,0,1,0,0,1
0.369,3.2039999999999997,79.0,2,0.0,2015000666,0.0,1.0,0.0,2.0,0.0,0.0,0.0,BR,2015,6,1,0,0,1,0,1
0.657,1.314,81.6,1,0.0,2015000667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,6,1,1,0,0,0,1
-0.6940000000000001,2.1390000000000002,82.5,1,0.0,2015000667,1.0,0.0,1.0,2.0,0.0,0.0,0.0,FB,2015,6,1,0,1,0,0,1
-1.469,2.81,80.0,2,0.0,2015000667,1.0,1.0,1.0,3.0,0.0,0.0,0.0,BR,2015,6,1,1,0,0,0,1
-0.855,2.719,84.5,1,0.0,2015000667,2.0,1.0,1.0,4.0,0.0,0.0,0.0,FB,2015,6,1,0,1,0,0,1
-1.3230000000000002,3.28,79.7,2,0.0,2015000667,2.0,2.0,1.0,5.0,0.0,0.0,0.0,BR,2015,6,1,0,1,0,0,1
-1.5619999999999998,3.7710000000000004,85.2,1,0.0,2015000668,0.0,0.0,2.0,1.0,0.0,0.0,0.0,FB,2015,6,1,1,0,0,1,0
0.12,1.4169999999999998,78.4,3,0.0,2015000668,1.0,0.0,2.0,2.0,0.0,0.0,0.0,OS,2015,6,1,1,0,0,1,0
-2.296,4.084,85.4,1,0.0,2015000668,2.0,0.0,2.0,3.0,0.0,0.0,0.0,FB,2015,6,1,1,0,0,1,0
-1.361,3.859,83.8,1,0.0,2015000668,3.0,0.0,2.0,4.0,0.0,0.0,0.0,FB,2015,6,1,1,0,0,1,0
-0.539,2.69,84.5,1,0.0,2015000669,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,6,1,0,0,1,0,1
0.289,2.7089999999999996,78.8,3,0.0,2015000670,0.0,0.0,2.0,1.0,0.0,1.0,1.0,OS,2015,6,1,1,0,0,1,0
-1.168,3.076,87.3,1,0.0,2015000670,1.0,0.0,2.0,2.0,0.0,1.0,1.0,FB,2015,6,1,0,1,0,1,0
-0.188,2.04,86.4,1,0.0,2015000670,1.0,1.0,2.0,3.0,0.0,1.0,1.0,FB,2015,6,1,0,1,0,1,0
-0.884,2.9339999999999997,89.7,1,0.0,2015000670,1.0,2.0,2.0,4.0,0.0,1.0,1.0,FB,2015,6,1,0,0,1,1,0
1.126,1.057,85.4,1,2.0,2015000671,0.0,0.0,2.0,1.0,1.0,0.0,0.0,FB,2015,6,1,1,0,0,0,1
0.514,2.0909999999999997,80.1,2,2.0,2015000671,1.0,0.0,2.0,2.0,1.0,0.0,0.0,BR,2015,6,1,0,1,0,0,1
0.442,1.97,85.0,1,2.0,2015000671,1.0,1.0,2.0,3.0,1.0,0.0,0.0,FB,2015,6,1,0,1,0,0,1
0.261,1.8230000000000002,77.7,3,2.0,2015000671,1.0,2.0,2.0,4.0,1.0,0.0,0.0,OS,2015,6,1,0,1,0,0,1
-1.8719999999999999,2.878,76.1,3,2.0,2015000677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,OS,2015,7,1,1,0,0,1,0
-0.76,2.7460000000000004,77.2,3,2.0,2015000677,1.0,0.0,0.0,2.0,0.0,0.0,0.0,OS,2015,7,1,0,0,1,1,0
-0.716,1.41,84.1,1,2.0,2015000678,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,7,1,0,0,1,0,1
0.32899999999999996,1.0859999999999999,79.0,2,2.0,2015000679,0.0,0.0,1.0,1.0,1.0,0.0,0.0,BR,2015,7,1,0,1,0,0,1
-0.318,1.754,83.5,1,2.0,2015000679,0.0,1.0,1.0,2.0,1.0,0.0,0.0,FB,2015,7,1,0,1,0,0,1
1.517,1.266,79.8,2,2.0,2015000679,0.0,2.0,1.0,3.0,1.0,0.0,0.0,BR,2015,7,1,1,0,0,0,1
1.298,0.209,80.0,2,2.0,2015000679,1.0,2.0,1.0,4.0,1.0,0.0,0.0,BR,2015,7,1,1,0,0,0,1
-0.271,3.112,78.6,2,2.0,2015000679,2.0,2.0,1.0,5.0,1.0,0.0,0.0,BR,2015,7,1,0,0,1,0,1
0.6920000000000001,2.265,79.6,2,3.0,2015000680,0.0,0.0,1.0,1.0,0.0,0.0,1.0,BR,2015,7,1,0,0,1,0,1
-0.11199999999999999,2.51,84.1,1,3.0,2015000681,0.0,0.0,2.0,1.0,0.0,0.0,1.0,FB,2015,7,1,0,1,0,1,0
-0.988,2.6519999999999997,85.5,1,3.0,2015000681,0.0,1.0,2.0,2.0,0.0,0.0,1.0,FB,2015,7,1,0,1,0,1,0
0.43799999999999994,-0.879,76.7,3,3.0,2015000681,0.0,2.0,2.0,3.0,0.0,0.0,1.0,OS,2015,7,1,1,0,0,1,0
-0.139,1.6969999999999998,79.9,3,3.0,2015000681,1.0,2.0,2.0,4.0,0.0,0.0,1.0,OS,2015,7,1,0,1,0,1,0
-1.058,2.5,81.9,1,3.0,2015000685,0.0,0.0,0.0,1.0,0.0,0.0,0.0,FB,2015,8,1,0,1,0,1,0
-0.62,1.324,73.6,2,3.0,2015000685,0.0,1.0,0.0,2.0,0.0,0.0,0.0,BR,2015,8,1,1,0,0,1,0
-1.21,2.7510000000000003,84.0,1,3.0,2015000685,1.0,1.0,0.0,3.0,0.0,0.0,0.0,FB,2015,8,1,0,1,0,1,0
-0.301,2.033,78.8,3,3.0,2015000685,1.0,2.0,0.0,4.0,0.0,0.0,0.0,OS,2015,8,1,0,0,1,1,0
-0.498,2.654,83.7,1,3.0,2015000686,0.0,0.0,1.0,1.0,0.0,0.0,0.0,FB,2015,8,1,0,0,1,0,1
